State,Location,AIAN,Asian,Black,Hispanic,White,Multi,Total
AL,rural-distant,0,1.213171577,97.57365685,0.606585789,0.433275563,0.173310225,1154
AL,town-distant,0.355329949,1.675126904,8.730964467,7.614213198,76.54822335,5.076142132,1970
AL,town-fringe,0,0.038299502,68.09651475,1.608579088,29.72041363,0.536193029,2611
AL,rural-fringe,0.289687138,1.100811124,1.564310545,8.458864426,86.5585168,2.027809965,1726
AL,suburban-small,0.654205607,1.090342679,4.143302181,3.302180685,88.5046729,2.30529595,3210
AL,town-fringe,0.080353556,0.401767778,31.21735637,3.334672559,62.27400562,2.691844114,2489
AL,suburban-large,0.095923261,2.446043165,18.87290168,12.54196643,63.64508393,2.398081535,4170
AL,rural-fringe,0.205728755,0.316505776,15.8411141,4.969140687,76.91090362,1.756607058,6319
AL,city-midsize,0.478648131,2.068592358,40.1981187,12.19928411,39.24914676,5.806209939,24026
AL,rural-distant,12.76051188,0.29250457,3.053016453,4.552102377,78.09872029,1.243144424,5470
AL,city-small,0.251572327,1.446540881,31.69811321,2.893081761,63.27044025,0.440251572,1590
AL,town-distant,0.110375276,1.103752759,16.70345843,9.676232524,69.86754967,2.538631347,2718
AL,suburban-large,0.171816544,0.631841485,48.76264376,8.565886102,41.5463489,0.321463212,36085
AL,rural-remote,0,0.126796281,12.17244294,1.690617075,84.61538462,1.394759087,2366
AL,town-distant,0.451467269,0.564334086,79.45823928,8.35214447,9.029345372,2.144469526,886
AL,rural-distant,0.214056368,0.570816982,2.830300868,1.593530741,94.05398977,0.737305268,8409
AL,town-distant,11.9269861,0.477079444,9.956440572,3.401783862,71.74859988,2.489110143,4821
AL,suburban-large,0.455816845,0.631927898,22.95659381,5.635553714,66.59069719,3.729410546,9653
AL,rural-distant,0.564665002,0.640677598,8.165924639,10.23998263,78.56444782,1.824302313,9209
AL,rural-remote,0,0,95.34412955,1.417004049,3.036437247,0.20242915,494
AL,rural-distant,0,0.066312997,98.34217507,0.397877984,1.193633952,0,1508
AL,town-distant,0,0.148294612,97.72614928,0.593178448,1.334651508,0.197726149,2023
AL,suburban-large,6.118230674,1.720752377,19.66721786,4.237288136,65.53327821,2.723232741,19352
AL,rural-remote,0,0.190839695,64.69465649,0.477099237,34.16030534,0.477099237,1048
AL,town-remote,0.448698774,0.777744541,3.350284176,3.320370924,89.59018845,2.512713132,3343
AL,suburban-large,0.276243094,0,93.8305709,3.406998158,0.644567219,1.841620626,1086
AL,city-midsize,1.180351253,2.312561291,49.86359989,3.614157083,40.70428813,2.325042346,56085
AL,rural-distant,2.000571592,0.34295513,53.38668191,0.800228637,42.35495856,1.114604173,3499
AL,city-midsize,0.083191907,3.643805531,78.35346577,6.825064058,10.12279125,0.971681475,30051
AL,rural-distant,0.585708708,0.585708708,2.642197058,9.891969283,85.24014057,1.054275674,7683
AL,suburban-large,0.046051117,0.874971218,0.322357817,1.358507944,95.78632282,1.611789086,4343
AL,city-small,0.832466181,2.532084634,15.2271939,6.104751994,72.28581339,3.017689906,2883
AL,rural-fringe,0.268096515,0.804289544,4.289544236,23.25737265,66.8230563,4.557640751,1492
AL,city-small,0.432309443,1.456200228,58.13424346,8.782707622,29.39704209,1.797497156,4395
AL,rural-fringe,0.302571861,0.453857791,21.63388805,1.89107413,75.11346445,0.605143722,1322
AL,city-small,0.096548395,1.544774318,25.77842143,11.46512189,57.27733526,3.837798697,4143
AL,town-fringe,0.188857413,1.699716714,48.72521246,2.69121813,43.86213409,2.83286119,2118
AL,town-distant,0.075018755,0.725181295,12.87821955,3.325831458,81.17029257,1.825456364,3999
AL,rural-remote,0,0.069348128,98.82108183,0.069348128,0.901525659,0.138696255,1442
AL,suburban-large,0.583297766,0.65443164,57.70379855,7.227201593,28.26860151,5.562668943,7029
AL,rural-distant,0.536604063,0.574932924,58.22154082,2.683020314,36.565734,1.41816788,2609
AL,town-fringe,0.566801619,0.809716599,10.28340081,1.619433198,83.40080972,3.319838057,1235
AL,rural-distant,1.083883129,0.188501414,49.05749293,3.534401508,43.26107446,2.87464656,2122
AL,rural-remote,0.222123501,0.177698801,14.26032874,6.263882719,77.56552643,1.510439805,2251
AL,town-distant,0.06514658,0.716612378,39.93485342,1.302931596,57.26384365,0.716612378,1535
AL,rural-distant,0.411885849,1.58870256,38.5701677,5.295675199,49.42630185,4.707266843,3399
AL,town-distant,0.909090909,0.592885375,5.256916996,47.27272727,43.95256917,2.015810277,2530
AL,town-distant,0.475812847,0.951625694,5.352894528,7.097541634,84.17922284,1.942902458,2522
AL,town-distant,0.056882821,0.312855518,97.09897611,0.199089875,2.161547213,0.170648464,3516
AL,suburban-small,0.280898876,0.187265918,40.73033708,4.868913858,53.08988764,0.842696629,1068
AL,suburban-large,0.207900208,2.024552025,15.36976537,7.271557272,72.96307296,2.163152163,20202
AL,rural-distant,0.27400263,1.00832968,9.655852696,4.427882508,82.9789566,1.654975888,9124
AL,rural-remote,0,0.191204589,98.02421925,0.509878904,1.08349267,0.191204589,1569
AL,town-distant,0.087950748,0.527704485,40.1055409,2.462620932,55.23306948,1.583113456,2274
AL,rural-fringe,0.050505051,0.95959596,66.16161616,3.080808081,28.28282828,1.464646465,1980
AL,rural-distant,0.131354262,0.407198214,32.69407592,2.154209904,63.43097334,1.182188362,7613
AL,rural-distant,0.170765027,0.239071038,26.74180328,1.844262295,69.9795082,1.024590164,2928
AL,rural-fringe,0.162249865,0.865332612,25.74364521,2.866414278,69.92969173,0.432666306,1849
AL,suburban-large,1.538461538,1.196581197,66.66666667,23.76068376,4.786324786,2.051282051,1170
AL,town-remote,0,0.629425649,48.30841857,0.865460268,50.11801731,0.078678206,1271
AL,rural-fringe,0.20746888,3.423236515,62.96680498,2.697095436,29.46058091,1.244813278,1928
AL,city-small,0.250144314,2.078121993,69.90571484,4.098518376,22.8785838,0.788916683,10394
AL,suburban-midsize,0.212487741,0.839054157,28.71308707,7.415277324,61.34902474,1.471068977,18354
AL,suburban-small,0,0.461437047,26.96110745,1.120632828,70.7976269,0.659195781,1517
